n-cD4oLk_D0,The Smiths,There Is A Light That Never Goes Out,more,"Home, and I'm welcome no __",53660,62550,8890,0,string_ore,string_ore,strings,,,,,,
0J2QdDbelmY,The White Stripes,Seven Nation Army,pore,Make the sweat drip out of every __,183850,188030,4180,1,string_ore,string_ore,strings,,,,,,
0J2QdDbelmY,The White Stripes,Seven Nation Army,before,Right __ the lord,191150,196030,4880,1,string_ore,string_ore,strings,,,,,,
0J2QdDbelmY,The White Stripes,Seven Nation Army,more,And I will sing no __,198330,203720,5390,1,string_ore,string_ore,strings,,,,,,
TOypSnKFHrE,The Strokes,Last Nite,more,Oh maybe I don't care no __,44260,47030,2770,0,string_ore,string_ore,strings,,,,,,
TOypSnKFHrE,The Strokes,Last Nite,more,Oh little girl I don't care no __,166600,169510,2910,0,string_ore,string_ore,strings,,,,,,
XmSdTa9kaiQ,U2,With Or Without You,shore,Through the storm we reach the __,71390,75300,3910,0,string_ore,string_ore,strings,,,,,,
XmSdTa9kaiQ,U2,With Or Without You,more,You give it all but I want __,75300,80260,4960,0,string_ore,string_ore,strings,,,,,,
xmUZ6nCFNoU,The Smashing Pumpkins,Today,Before,__ I get out,52240,58620,6380,0,string_ore,string_ore,strings,,,,,,
xmUZ6nCFNoU,The Smashing Pumpkins,Today,more,I wanted __,58620,64480,5860,0,string_ore,string_ore,strings,,,,,,
xmUZ6nCFNoU,The Smashing Pumpkins,Today,Bored,__ by the chore,70240,76070,5830,0,string_ore,string_ore,strings,,,,,,
xmUZ6nCFNoU,The Smashing Pumpkins,Today,chore,Bored by the __,70240,76070,5830,0,string_ore,string_ore,strings,,,,,,
xmUZ6nCFNoU,The Smashing Pumpkins,Today,Before,__ I get out,99170,104990,5820,0,string_ore,string_ore,strings,,,,,,
4aeETEoNfOg,The Smashing Pumpkins,1979,bored,Double cross the vacant and the __,99690,114630,14940,0,string_ore,string_ore,strings,,,,,,
4aeETEoNfOg,The Smashing Pumpkins,1979,store,They're not sure just what we have in the __,114630,122220,7590,0,string_ore,string_ore,strings,,,,,,
8-r-V0uK4u0,The Smashing Pumpkins,Bullet With Butterfly Wings,more,"But can you fake it, for just one __ show?",83130,91400,8270,0,string_ore,string_ore,strings,,,,,,
SSR6ZzjDZ94,Boston,More Than A Feeling,more,"It's __ than a feeling, when I hear that old song they used to play (more than a feeling)",51670,60450,8780,0,string_ore,string_ore,strings,,,,,,
SSR6ZzjDZ94,Boston,More Than A Feeling,more,"It's more than a feeling, when I hear that old song they used to play (__ than a feeling)",51670,60450,8780,0,string_ore,string_ore,strings,,,,,,
SSR6ZzjDZ94,Boston,More Than A Feeling,more,I begin dreaming (__ than a feeling),60450,64390,3940,0,string_ore,string_ore,strings,,,,,,
SSR6ZzjDZ94,Boston,More Than A Feeling,more,"It's __ than a feeling, when I hear that old song they used to play (more than a feeling)",120450,129230,8780,0,string_ore,string_ore,strings,,,,,,
